Prefecture,Present,Past,Past (New),Delta
Total,100.0,100.0,100.0,-0.0
Hokkaido,4.7,4.2,4.6,0.1
Aomori,1.0,0.8,0.9,0.1
Iwate,0.9,0.8,0.9,0.0
Miyagi,1.7,1.6,1.8,-0.1
Akita,0.8,0.5,0.6,0.2
Yamagata,0.8,0.6,0.7,0.1
Fukushima,1.3,1.1,1.2,0.1
Ibaraki,2.2,1.8,2.0,0.2
Tochigi,1.5,1.2,1.3,0.2
Gunma,1.6,1.3,1.4,0.2
Saitama,5.7,5.0,5.5,0.2
Chiba,4.9,4.4,4.9,0.0
Tokyo,12.0,12.0,13.2,-1.2
Kanagawa,7.2,7.3,8.0,-0.8
Niigata,1.6,1.3,1.4,0.2
Toyama,0.8,0.7,0.8,0.0
Ishikawa,0.8,0.8,0.9,-0.1
Fukui,0.5,0.4,0.4,0.1
Yamanashi,0.7,0.6,0.7,0.0
Nagano,1.7,1.3,1.4,0.3
Gifu,1.4,1.2,1.3,0.1
Shizuoka,2.8,2.7,3.0,-0.2
Aichi,5.6,5.5,6.1,-0.5
Mie,1.4,1.2,1.3,0.1
Shiga,1.1,0.9,1.0,0.1
Kyoto,2.3,1.9,2.1,0.2
Osaka,7.7,7.3,8.0,-0.3
Hyogo,4.2,4.3,4.7,-0.5
Nara,1.0,0.9,1.0,0.0
Wakayama,0.8,0.6,0.7,0.1
Tottori,0.4,0.3,0.3,0.1
Shimane,0.6,0.4,0.4,0.2
Okayama,1.4,1.4,1.5,-0.1
Hiroshima,2.3,2.1,2.3,-0.0
Yamaguchi,1.2,1.0,1.1,0.1
Tokushima,0.6,0.5,0.6,0.0
Kagawa,0.8,0.7,0.8,0.0
Ehime,1.2,1.0,1.1,0.1
Kochi,0.6,0.5,0.6,0.0
Fukuoka,4.2,3.7,4.1,0.1
Saga,0.6,0.5,0.6,0.0
Nagasaki,1.2,0.9,1.0,0.2
Oita,0.9,0.7,0.8,0.1
Miyazaki,0.9,0.7,0.8,0.1
Kagoshima,1.6,1.1,1.2,0.4
Okinawa,1.1,1.0,1.1,-0.0
