（%）,,,Total,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
Prefecture of previous residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,100.0,4.6,0.9,0.9,1.8,0.7,0.8,1.3,2.1,1.5,1.6,5.9,5.0,11.7,7.9,1.4,0.8,0.9,0.5,0.6,1.5,1.4,3.0,5.9,1.4,1.0,2.1,7.5,4.7,1.1,0.7,0.4,0.5,1.5,2.3,1.2,0.6,0.7,1.1,0.5,4.2,0.6,1.0,-,0.9,0.9,1.3,1.1
,Hokkaido,,100.0,93.3,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.5,0.6,1.7,1.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.5,0.0,0.0,0.0,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-,0.1,0.1,0.0,0.0
,Aomori,,100.0,1.8,88.8,1.6,1.3,1.0,0.1,0.2,0.1,0.0,0.1,0.0,0.6,2.3,0.7,0.2,0.1,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,-,0.1,0.0,0.0,0.2
,Iwate,,100.0,2.1,1.4,87.1,3.2,0.6,0.4,0.1,0.0,0.0,0.0,0.7,0.9,0.6,1.5,0.0,0.0,0.2,0.1,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0
,Miyagi,,100.0,0.1,0.6,1.6,85.2,0.7,1.4,1.4,0.3,0.5,0.4,1.6,0.6,1.1,2.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.7,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,-,0.0,0.0,0.0,0.0
,Akita,,100.0,0.8,1.2,1.4,1.8,87.4,0.9,0.0,0.0,0.3,0.1,0.0,1.8,2.6,1.1,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0
,Yamagata,,100.0,0.0,0.0,0.4,1.4,1.1,89.2,1.2,0.3,0.5,0.3,0.0,0.4,3.0,0.5,0.2,0.1,0.5,0.0,0.1,0.2,0.0,0.2,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0
,Fukushima,,100.0,0.0,0.2,0.3,2.0,0.3,0.5,84.1,1.2,1.5,0.7,0.5,1.2,2.4,1.1,0.7,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.1,0.2,0.0,1.3,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,-,0.0,0.0,0.0,0.3
,Ibaraki,,100.0,0.0,0.2,0.1,0.5,0.0,0.1,0.8,88.3,1.3,0.3,0.6,1.3,3.1,1.0,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.2,0.1,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.1,0.0,0.4,0.0,0.0,-,0.0,0.1,0.1,0.2
